INDV,INDV1,INDV2,N_NA,N_COMMON_CALLED,N_DISCORD,DISCORDANCE
BGM-0235,CNPMF235:250370413,BGM.0235,908,652,92,0.141104
BGM-0236,CNPMF236:250370414,BGM.0236,782,778,80,0.102828
BGM-0237,CNPMF237:250370425,BGM.0237,971,589,79,0.134126
BGM-0238,CNPMF238:250370426,BGM.0238,900,660,80,0.121212
BGM-0239,CNPMF239:250370437,BGM.0239,916,644,72,0.111801
BGM-0240,CNPMF240:250370438,BGM.0240,874,686,82,0.119534
BGM-0242,CNPMF242:250370450,BGM.0242,1042,518,87,0.167954
BGM-0247,CNPMF247:250370462,BGM.0247,998,562,90,0.160142
BGM-0248,CNPMF248:250370379,BGM.0248,892,668,90,0.134731
BGM-0249,CNPMF249:250370380,BGM.0249,865,695,64,0.0920863
BGM-0250,CNPMF250:250370391,BGM.0250,936,624,84,0.134615
BGM-0252,AIPIM_MANTEIGA,BGM.0252,588,972,113,0.116255
BGM-0252,BGM0252:250581762,BGM.0252,671,889,93,0.104612
BGM-0254,CNPMF254:250370392,BGM.0254,972,588,92,0.156463
BGM-0257,CNPMF257:250370403,BGM.0257,904,656,113,0.172256
BGM-0257,CNPMF257:250370403,BGM.0257.1,921,639,101,0.158059
BGM-0260,BRA134:250327456,BR.20.DArT.PL22_E10...BGM.0260,402,1158,124,0.107081
BGM-0260,BRA134:250327456,BGM.0260,366,1194,114,0.0954774
BGM-0260,CNPMF260:250370404,BR.20.DArT.PL22_E10...BGM.0260,891,669,99,0.147982
BGM-0260,CNPMF260:250370404,BGM.0260,870,690,99,0.143478
BGM-0261,CNPMF261:250370415,BGM.0261,868,692,85,0.122832
BGM-0264,CNPMF264:250370427,BGM.0264,877,683,84,0.122987
BGM-0267,BGM0267:250437177,BGM.0267,847,713,105,0.147265
BGM-0268,CNPMF268:250370439,BGM.0268,940,620,105,0.169355
BGM-0269,CNPMF269:250370440,BGM.0269,937,623,101,0.162119
BGM-0270,CNPMF270:250370451,BGM.0270,816,744,77,0.103495
BGM-0270,Paraguai:250437625,BGM.0270,893,667,69,0.103448
BGM-0276,CNPMF276:250370464,BGM.0276,910,650,112,0.172308
BGM-0277,CNPMF277:250370496,BGM.0277,1058,502,77,0.153386
BGM-0279,CNPMF279:250370497,BGM.0279,1049,511,67,0.131115
BGM-0281,BRA125:250327455,BGM.0281,614,946,97,0.102537
BGM-0281,CNPMF281:250370509,BGM.0281,955,605,69,0.11405
BGM-0283,CNPMF283:250370521,BGM.0283,941,619,88,0.142165
BGM-0284,CNPMF284:250370532,BGM.0284,1000,560,54,0.0964286
BGM-0285,CNPMF285:250370533,BGM.0285,1068,492,68,0.138211
BGM-0286,CNPMF286:250370544,BGM.0286,1002,558,53,0.0949821
BGM-0287,CNPMF287:250370545,BGM.0287,1046,514,79,0.153696
BGM-0288,CNPMF288:250370556,BGM.0288,1034,526,61,0.11597
BGM-0289,CNPMF289:250370557,BGM.0289,1035,525,74,0.140952
BGM-0290,CNPMF290:250370568,BGM.0290.1,1038,522,61,0.116858
BGM-0290,CNPMF290:250370568,BGM.0290.2,1048,512,60,0.117188
BGM-0290,CNPMF290:250370568,BGM.0290.3,1049,511,61,0.119374
BGM-0290,CNPMF290:250370568,BGM.0290,1020,540,66,0.122222
BGM-0294,CNPMF294:250370580,BGM.0294.1,1065,495,53,0.107071
BGM-0297,CNPMF297:250370498,BGM.0297,1064,496,63,0.127016
BGM-0298,CNPMF298:250370499,BGM.0298,937,623,78,0.125201
BGM-0303,CNPMF303:250370510,BGM.0303,1012,548,70,0.127737
BGM-0304,CNPMF304:250370511,BGM.0304,1065,495,75,0.151515
BGM-0306,CNPMF306:250370522,BGM.0306,1015,545,65,0.119266
BGM-0307,CNPMF307:250370523,BGM.0307,1079,481,64,0.133056
BGM-0308,CNPMF308:250370534,BGM.0308,952,608,87,0.143092
BGM-0314,BGM0314:250437185,BGM.0314,844,716,86,0.120112
BGM-0316,CNPMF316:250370547,BGM.0316,1005,555,68,0.122523
BGM-0323,CNPMF323:250370570,BR.SET1.18.BGM.0323.1.43,1078,482,74,0.153527
BGM-0327,CNPMF327:250370583,BGM.0327,986,574,87,0.151568
BGM-0330,CNPMF330:250370500,BGM.0330,1000,560,81,0.144643
BGM-0336,CNPMF336:250370513,BGM.0336,1130,430,69,0.160465
BGM-0337,CNPMF337:250370524,BGM.0337,1108,452,67,0.14823
BGM-0341,CNPMF341:250370537,BGM.0341,1037,523,79,0.151052
BGM-0342,CNPMF342:250370548,BGM.0342,1173,387,49,0.126615
BGM-0345,CNPMF345:250370560,BGM.0345,1025,535,86,0.160748
BGM-0349,CNPMF349:250370561,BGM.0349,1040,520,56,0.107692
BGM-0356,CNPMF356:250370573,BGM.0356,1161,399,62,0.155388
BGM-0357,CNPMF357:250370584,BGM.0357,980,580,78,0.134483
BGM-0358,CNPMF358:250370585,BGM.0358,1060,500,82,0.164
BGM-0359,CNPMF359:250370502,BGM.0359,1099,461,92,0.199566
BGM-0360,CNPMF360:250370503,BR.SET1.18.BGM.0360.1.103,1139,421,58,0.137767
BGM-0364,CNPMF364:250370526,BGM.0364,1089,471,66,0.140127
BGM-0368,BGM0368:250437186,BGM.0368,853,707,90,0.127298
BGM-0369,CNPMF369:250370550,BGM.0369,951,609,89,0.146141
BGM-0371,CNPMF371:250370551,BGM.0371,1023,537,62,0.115456
BGM-0374,BGM0374:250581772,BGM.0374,619,941,110,0.116897
BGM-0374,CNPMF374:250370562,BGM.0374,1001,559,72,0.128801
BGM-0375,CNPMF375:250370563,BGM.0375,1117,443,70,0.158014
BGM-0380,CNPMF380:250370586,BGM.0380,1089,471,70,0.14862
BGM-0383,CNPMF383:250370504,BGM.0383,1002,558,108,0.193548
BGM-0386,CNPMF386:250370505,BGM.0386,1012,548,74,0.135036
BGM-0389,CNPMF389:250370517,BGM.0389,1094,466,53,0.113734
BGM-0390,CNPMF390:250370528,BGM.0390.1,1026,534,82,0.153558
BGM-0393,CNPMF393:250370529,BGM.0393,1122,438,60,0.136986
BGM-0394,CNPMF394:250370540,BGM.0394,1061,499,60,0.12024
BGM-0395,CNPMF395:250370541,BGM.0395,984,576,72,0.125
BGM-0396,CNPMF396:250370552,BGM.0396,1075,485,76,0.156701
BGM-0398,CNPMF398:250370553,BGM.0398,1028,532,77,0.144737
BGM-0399,CNPMF399:250370564,BGM.0399,1082,478,64,0.133891
BGM-0400,CNPMF400:250370565,BGM.0400,1052,508,58,0.114173
BGM-0407,CNPMF407:250370588,BGM.0407,975,585,90,0.153846
BGM-0408,CNPMF408:250370589,BGM.0408,1051,509,74,0.145383
BGM-0410,CNPMF410:250370507,BGM.0410,1015,545,64,0.117431
BGM-0411,CNPMF411:250370518,BGM.0411,1114,446,65,0.14574
BGM-0413,CNPMF413:250370519,BGM.0413,1087,473,73,0.154334
BGM-0414,CNPMF414:250370530,BGM.0414,1057,503,84,0.166998
BGM-0420,CNPMF420:250370542,BGM.0420,954,606,80,0.132013
BGM-0424,BGM0424:250437187,BGM.0424,819,741,111,0.149798
BGM-0425,CNPMF425:250370566,BGM.0425,1083,477,65,0.136268
BGM-0426,CNPMF426:250370567,BGM.0426.1,1066,494,64,0.129555
BGM-0427,CNPMF427:250370578,BGM.0427,1016,544,76,0.139706
BGM-0428,CNPMF428:250370579,BGM.0428,1009,551,88,0.15971
BGM-0428,CNPMF428:250370579,BGM.0428.1,1028,532,85,0.159774
BGM-0435,CNPMF435:250370623,BGM.0435,1196,364,60,0.164835
BGM-0436,CNPMF436:250370624,BGM.0436,1158,402,45,0.11194
BGM-0437,CNPMF437:250370635,BGM.0437,1123,437,69,0.157895
BGM-0438,CNPMF438:250370636,BGM.0438,1065,495,93,0.187879
BGM-0440,CNPMF440:250370648,BGM.0440,1091,469,67,0.142857
BGM-0442,CNPMF442:250370660,BGM.0442,1095,465,67,0.144086
BGM-0444,CNPMF444:250370672,BGM.0444,1157,403,61,0.151365
BGM-0447,CNPMF447:250370684,BR.SET1.18.BGM.0447.1.186,1133,427,56,0.131148
BGM-0448,CNPMF448:250370695,BGM.0448,1133,427,79,0.185012
BGM-0449,CNPMF449:250370696,BGM.0449,1198,362,66,0.18232
BGM-0451,CNPMF451:250370708,BGM.0451,1060,500,78,0.156
BGM-0452,CNPMF452:250370625,BGM.0452,1152,408,68,0.166667
BGM-0452,CNPMF452:250370625,BGM.0452.1,1184,376,67,0.178191
BGM-0460,CNPMF460:250370638,BGM.0460,1144,416,65,0.15625
BGM-0461,CNPMF461:250370649,BGM.0461,1089,471,82,0.174098
BGM-0463,CNPMF463:250370661,BGM.0463,1096,464,78,0.168103
BGM-0464,CNPMF464:250370662,BGM.0464,1201,359,56,0.155989
BGM-0465,CNPMF465:250370673,BGM.0465,1152,408,54,0.132353
BGM-0465,CNPMF465:250370673,BGM.0465.1,1184,376,50,0.132979
BGM-0467,CNPMF467:250370674,BGM.0467,1105,455,79,0.173626
BGM-0468,CNPMF468:250370685,BGM.0468,1067,493,65,0.131846
BGM-0470,CNPMF470:250370697,BR.SET1.18.BGM.0470.1.176,1181,379,67,0.176781
BGM-0471,CNPMF471:250370698,BGM.0471,1113,447,60,0.134228
BGM-0478,CNPMF478:250370640,BGM.0478,1223,337,58,0.172107
BGM-0484,CNPMF484:250370652,BGM.0484,1070,490,86,0.17551
BGM-0489,CNPMF489:250370663,BGM.0489,1091,469,74,0.157783
BGM-0495,CNPMF495:250370676,BGM.0495,1194,366,66,0.180328
BGM-0498,CNPMF498:250370699,BGM.0498,1132,428,80,0.186916
BGM-0499,CNPMF499:250370700,BGM.0499,1176,384,68,0.177083
BGM-0504,CNPMF504:250370630,BGM.0504,1283,277,47,0.169675
BGM-0505,CNPMF505:250370641,BGM.0505,1064,496,96,0.193548
BGM-0507,CNPMF507:250370642,BGM.0507,1193,367,47,0.128065
BGM-0508,CNPMF508:250370653,BGM.0508.1,1206,354,63,0.177966
BGM-0510,CNPMF510:250370665,BGM.0510,1170,390,73,0.187179
BGM-0511,CNPMF511:250370666,BGM.0511,1082,478,76,0.158996
BGM-0512,CNPMF512:250370677,BGM.0512,1053,507,86,0.169625
BGM-0514,CNPMF514:250370678,BGM.0514,1101,459,83,0.180828
BGM-0517,CNPMF517:250370689,BGM.0517.1,1131,429,67,0.156177
BGM-0521,CNPMF521:250370701,BGM.0521,1081,479,95,0.19833
BGM-0523,CNPMF523:250370702,BGM.0523,1060,500,76,0.152
BGM-0527,CNPMF527:250370713,BGM.0527,1166,394,71,0.180203
BGM-0529,CNPMF529:250370714,BGM.0529,1142,418,61,0.145933
BGM-0532,CNPMF532:250370631,BGM.0532,1072,488,81,0.165984
BGM-0533,CNPMF533:250370632,BGM.0533,1088,472,69,0.146186
BGM-0536,CNPMF536:250370643,BGM.0536,1191,369,57,0.154472
BGM-0540,CNPMF540:250370656,BGM.0540,1169,391,57,0.14578
BGM-0541,CNPMF541:250370667,BGM.0541,1156,404,55,0.136139
BGM-0542,CNPMF542:250370668,BGM.0542,1101,459,79,0.172113
BGM-0542,CNPMF542:250370668,BGM.0542.1,1153,407,74,0.181818
BGM-0543,CNPMF543:250370679,BGM.0543,1150,410,74,0.180488
BGM-0543,CNPMF543:250370679,BGM.0543.1,1178,382,70,0.183246
BGM-0544,CNPMF544:250370680,BGM.0544,1194,366,70,0.191257
BGM-0547,CNPMF547:250370703,BGM.0547,1169,391,62,0.158568
BGM-0549,CNPMF549:250370704,BGM.0549,1122,438,73,0.166667
BGM-0550,CNPMF550:250370715,BGM.0550,1134,426,52,0.122066
BGM-0551,CNPMF551:250370716,BGM.0551,1134,426,72,0.169014
BGM-0556,CNPMF556:250370645,BGM.0556,1146,414,61,0.147343
BGM-0557,CNPMF557:250370646,BGM.0557,1170,390,58,0.148718
BGM-0558,CNPMF558:250370657,BGM.0558,1183,377,60,0.159151
BGM-0560,CNPMF560:250370658,BGM.0560,1126,434,71,0.163594
BGM-0561,CNPMF561:250370669,BGM.0561,1101,459,56,0.122004
BGM-0563,CNPMF563:250370681,BGM.0563,1060,500,95,0.19
BGM-0564,CNPMF564:250370682,BGM.0564,1149,411,70,0.170316
BGM-0567,CNPMF567:250370694,BGM.0567,1189,371,52,0.140162
BGM-0570,CNPMF570:250370706,BGM.0570,1125,435,74,0.170115
BGM-0573,CNPMF573:250370717,BGM.0573,1131,429,66,0.153846
BGM-0574,CNPMF574:250370718,BGM.0574,1186,374,50,0.13369
BGM-0576,CNPMF576:250370751,BGM.0576,928,632,91,0.143987
BGM-0583,CNPMF583:250370763,BGM.0583,860,700,86,0.122857
BGM-0589,CNPMF589:250370775,BGM.0589,925,635,88,0.138583
BGM-0590,CNPMF590:250370786,BGM.0590,972,588,76,0.129252
BGM-0591,CNPMF591:250370787,BGM.0591,978,582,64,0.109966
BGM-0592,CNPMF592:250370798,BGM.0592,891,669,84,0.125561
BGM-0593,CNPMF593:250370799,BGM.0593.1,986,574,82,0.142857
BGM-0598,CNPMF598:250370810,BGM.0598,952,608,95,0.15625
BGM-0601,CNPMF601:250370822,BGM.0601,883,677,79,0.116691
BGM-0603,CNPMF603:250370823,BGM.0603,909,651,76,0.116743
BGM-0606,CNPMF606:250370834,BGM.0606,957,603,73,0.121061
BGM-0607,CNPMF607:250370835,BGM.0607,910,650,94,0.144615
BGM-0609,BGM0609:250437197,BGM.0609,736,824,123,0.149272
BGM-0611,BGM0611:250437190,BGM.0611,867,693,79,0.113997
BGM-0611,CNPMF611:250370764,BGM.0611,869,691,67,0.0969609
BGM-0614,CNPMF614:250370776,BGM.0614,924,636,93,0.146226
BGM-0615,CNPMF615:250370777,BGM.0615,943,617,82,0.132901
BGM-0618,CNPMF618:250370788,BGM.0618,961,599,83,0.138564
BGM-0620,CNPMF620:250370800,BGM.0620.1,1048,512,63,0.123047
BGM-0623,CNPMF623:250370801,BGM.0623,937,623,88,0.141252
BGM-0624,CNPMF624:250370813,BGM.0624,931,629,91,0.144674
BGM-0625,CNPMF625:250370824,BGM.0625,1003,557,72,0.129264
BGM-0626,CNPMF626:250370825,BGM.0626,976,584,85,0.145548
BGM-0631,CNPMF631:250370837,BGM.0631,898,662,86,0.129909
BGM-0635,CNPMF635:250370754,BGM.0635,892,668,91,0.136228
BGM-0638,CNPMF638:250370766,BGM.0638,952,608,88,0.144737
BGM-0640,CNPMF640:250370778,BGM.0640,1009,551,67,0.121597
BGM-0642,CNPMF642:250370790,BGM.0642,892,668,67,0.100299
BGM-0646,CNPMF646:250370803,BGM.0646,978,582,84,0.14433
BGM-0648,CNPMF648:250370814,BGM.0648,912,648,81,0.125
BGM-0650,BGM650:250494276,BGM.0650,819,741,80,0.107962
BGM-0651,CNPMF651:250370827,BGM.0651,1010,550,82,0.149091
BGM-0654,CNPMF654:250370838,BGM.0654,1005,555,81,0.145946
BGM-0655,CNPMF655:250370839,BGM.0655,979,581,80,0.137694
BGM-0655,CNPMF655:250370839,BGM.0655.1,994,566,77,0.136042
BGM-0657,CNPMF657:250370757,BGM.0657,1070,490,71,0.144898
BGM-0658,CNPMF658:250370768,BGM.0658,922,638,75,0.117555
BGM-0659,CNPMF659:250370769,BGM.0659,954,606,80,0.132013
BGM-0660,CNPMF660:250370780,BGM.0660.1,1012,548,77,0.140511
BGM-0662,CNPMF662:250370792,BGM.0662.1,1039,521,64,0.122841
BGM-0664,CNPMF664:250370793,BGM.0664,908,652,84,0.128834
BGM-0668,CNPMF668:250370817,BGM.0668,1021,539,69,0.128015
BGM-0669,CNPMF669:250370828,BGM.0669,945,615,78,0.126829
BGM-0670,CNPMF670:250370829,BGM.0670,917,643,88,0.136858
BGM-0671,CNPMF671:250370840,BGM.0671,1001,559,77,0.137746
BGM-0673,CNPMF673:250370758,BGM.0673,927,633,91,0.14376
BGM-0673,CNPMF673:250370758,BGM.0673.1,975,585,88,0.150427
BGM-0677,CNPMF677:250370770,BGM.0677.1,1144,416,80,0.192308
BGM-0678,CNPMF678:250370771,BGM.0678.1,991,569,83,0.14587
BGM-0679,CNPMF679:250370782,BGM.0679,916,644,82,0.127329
BGM-0680,CNPMF680:250370783,BGM.0680,1022,538,87,0.16171
BGM-0682,CNPMF682:250370794,BGM.0682,981,579,82,0.141623
BGM-0685,CNPMF685:250370795,BGM.0685,862,698,85,0.121777
BGM-0693,CNPMF693:250370806,BR.SET1.18.BGM.0693.1.81,1001,559,65,0.116279
BGM-0697,CNPMF697:250370819,BGM.0697,905,655,66,0.100763
BGM-0699,BGM0699:250437199,BGM.0699,816,744,101,0.135753
BGM-0700,CNPMF700:250370830,BGM.0700,947,613,81,0.132137
BGM-0703,CNPMF703:250370842,BGM.0703,880,680,81,0.119118
BGM-0707,CNPMF707:250370760,BGM.0707,1033,527,83,0.157495
BGM-0711,CNPMF711:250370772,BGM.0711,1020,540,66,0.122222
BGM-0714,CNPMF714:250370784,BGM.0714,995,565,66,0.116814
BGM-0717,CNPMF717:250370796,BR.SET1.18.BGM.0717.1.21,881,679,92,0.135493
BGM-0718,CNPMF718:250370797,BGM.0718,1009,551,88,0.15971
BGM-0726,CNPMF726:250370808,BGM.0726,955,605,74,0.122314
