GID	predOf	DMCg	logFSY	logFRY	PA	StC	Anthractnose	ManchaBranca	ManchaParda	QueimaFolhas
1	BR-21GS-C3-002-6	GEBV	0.905766870393458	0.146202298434401	0.0839239445949068	0.230530374410816	-0.792783590623411	0	-0.00484181289982382	-0.0141994324006605	0
2	BR-21GS-C3-002-6	GETGV	1.0274927514547	0.165056760588198	-0.00460415729754289	0.346286937069328	-0.792783590623411	0.0124608026948329	0.0349975895192146	-0.0141994324006605	-7.6401031926252e-05
3	BR-21GS-C3-010-5	GEBV	0.698250964298327	0.0405841949917825	0.00147844415115066	-1.56323835124763	0.0758611617108134	0	-0.00656206676576457	0.0183634962264411	0
4	BR-21GS-C3-010-5	GETGV	0.36482690303075	-0.0406721553175406	-0.118545478022292	-1.48520926766853	0.0758611617108134	0.0112470159237877	-0.0546473075846623	0.0183634962264411	7.79448052866344e-05
5	BR-21GS-C3-014-8	GEBV	0.00447128013668281	0.0156496681802192	0.0286145523205649	-0.40111726272133	-0.311855976606775	0	-0.00759110352948678	0.0369502076671434	0
6	BR-21GS-C3-014-8	GETGV	-0.418659292802106	0.0462173102359586	0.0457921165872501	-0.370184678833769	-0.311855976606775	0.00262155811689616	-0.0540109131503159	0.0369502076671434	8.12199010806036e-05
7	BR-21GS-C3-016-2	GEBV	-0.0901763136151685	0.0588415697056475	0.175174853278149	-0.58087896825234	0.176116322465971	0	-0.0112944796442891	0.0265107896370728	0
8	BR-21GS-C3-016-2	GETGV	-0.248268120299437	0.133488829595385	0.28017519172745	-0.401852414125738	0.176116322465971	-0.015558961862079	0.037234608380113	0.0265107896370728	3.93065541474043e-06
9	BR-21GS-C3-016-23	GEBV	-0.522907020308707	-0.0831973680448478	0.159578168183981	-0.847554086756749	-0.345385809468049	0	-0.0106776588320467	0.0361869172951399	0
10	BR-21GS-C3-016-23	GETGV	-0.616047599125826	-0.0789974525679226	0.203491502497519	-0.760552521604893	-0.345385809468049	-0.0012108931794323	0.0436609580093775	0.0361869172951399	-8.76891489514884e-06
11	BR-21GS-C3-018-19	GEBV	0.346862169327627	0.0941124083978469	0.160843777333362	-0.0264419069773206	-0.0992395413505713	0	-0.00723054312468617	0.0230446221805842	0
12	BR-21GS-C3-018-19	GETGV	0.113620581592744	0.0509699679995417	0.055170861930395	0.00198679476561384	-0.0992395413505713	-0.000799591875711243	-0.054109954733314	0.0230446221805842	6.1345798158844e-06
13	BR-21GS-C3-021-5	GEBV	0.605520962278724	0.161393885910702	0.0681368847551755	0.190501382804405	0.166569147547004	0	-0.0117469201755783	0.0510850049254619	0
14	BR-21GS-C3-021-5	GETGV	0.525648709877748	0.148456490889488	-0.00864673756516772	0.122458942029118	0.166569147547004	0.0265590105760241	0.0613362811485398	0.0510850049254619	-5.62095728544288e-05
15	BR-21GS-C3-022-8	GEBV	0.30734473406617	-0.109899555928013	0.0585778434835223	-0.662400985456787	-0.0989696981709789	0	-0.00305402896018347	0.0398097116432254	0
16	BR-21GS-C3-022-8	GETGV	0.166359477298741	-0.130015586831665	-0.00950476049696913	-0.616138334640022	-0.0989696981709789	0.00301703862174337	0.00517575865374895	0.0398097116432254	-3.04623872908712e-05
17	BR-21GS-C3-023-7	GEBV	0.136876219577581	0.013361589773389	0.0217963946815233	0.0676493997252623	-0.0392561785730493	0	-0.00210423668819364	-0.00572627986451442	0
18	BR-21GS-C3-023-7	GETGV	-0.220549371957094	0.0815588019954602	0.112041462463683	0.149156763581942	-0.0392561785730493	0.0136053359320883	0.0289986059290988	-0.00572627986451442	8.627323113876e-06
19	BR-21GS-C3-024-13	GEBV	0.518962630297022	0.140832611822279	-0.00138802553134266	-0.70254410732565	0.288071558574306	0	-0.00371484410993303	0.0338791338894124	0
20	BR-21GS-C3-024-13	GETGV	0.702281651478457	0.0815715572757746	0.0530608583348147	-0.651056572955251	0.288071558574306	0.0253172306619158	0.0341540256556013	0.0338791338894124	5.94719345233994e-05
21	BR-21GS-C3-024-33	GEBV	0.735388314629709	0.0922921974795141	0.100723440324207	-0.752501213659721	0.491251089317426	0	5.88579280919632e-05	0.0407165617440763	0
22	BR-21GS-C3-024-33	GETGV	1.01234272449659	-0.0329148072649356	0.0286023707986398	-0.721671781784382	0.491251089317426	0.00180393203014722	0.0254608075526513	0.0407165617440763	-2.69347866897115e-06
23	BR-21GS-C3-024-44	GEBV	-0.020430312055968	0.177950396220762	0.107530465164758	-0.574888873854129	0.0325809077214824	0	-0.000673655502541658	0.000256815289315755	0
24	BR-21GS-C3-024-44	GETGV	0.380835966950351	0.0960979128655442	0.106446408172084	-0.575615731169703	0.0325809077214824	0.0340870515592304	0.0886249418818685	0.000256815289315755	-7.94129250827039e-05
25	BR-21GS-C3-002-11	GEBV	1.08338977149438	0.14652615331321	0.150014541604768	0.53375126978885	-1.15447670210682	0	-0.00233113137772006	0.00940524937857841	0
26	BR-21GS-C3-002-11	GETGV	1.49436050381702	0.109783085275523	0.165469941883419	0.720845297529487	-1.15447670210682	0.0102689820653396	-0.00981813331839815	0.00940524937857841	-5.2936196612819e-05
27	BR-21GS-C3-010-7	GEBV	0.796026255862734	0.0453149930609511	0.0526653174069287	-1.18796676160654	-0.9310672343334	0	-0.00428322800662805	0.0175788472019009	0
28	BR-21GS-C3-010-7	GETGV	0.604182567277567	-0.0388808639219987	-0.186924382675397	-0.950194385152785	-0.9310672343334	-0.0043598440649125	-0.0463522585181396	0.0175788472019009	3.75206261259867e-05
